first_name,last_name,username,email,password
dan,benita,danbeni,dan@gmail.com,123456Dan
hadar,sitbon,hadarsit,hadar@gmail.com,123456Hadar
maya,lifshitz,mayalifs,maya@gmail.com,123456Maya
dana,cohen,danaco,dana@gmail.com,123456Dana
gal,israel,glisra,gal@gmail.com,123456Gal
tom,galil,tomga,tom@gmail.com,123456Tom
hila,shapira,hilasha,hila@gmail.com,123456Hila
amit,koren,amitko,amit@gmail.com,123456Amit
ben,nudelman,bennu,ben@gmail.com,123456Ben
roni,hen,ronihe,roni@gmail.com,123456Roni
amit,finkman,amitfin,amitfin@gmail.com,123456Amit
eden,bar kochva,edenbar,eden@gmail.com,123456Eden
nitzan,bakalchuk,nitzanbak,nitzan@gmail.com,123456Nitzan
